零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件种类,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H
H97A3602022AD,右前轮速传感器总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,总装,0.0063,16.0,6.0,6.0
H97A6309001AA,车门上背门限位器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,总装,0.034,74,51,50
H97D6900900AEUG04,前排主驾驶员座椅合件,无,,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,A,1.0,采购件,总装,0.0295,1092.98,859.51,554.88
H97A8402019AA,发动机罩前密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.113,1625.32,90.48,536.48
H97A5515005ABJK05,后背门上装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.609,1210,141,92
H97A2803031AB,前保险杠右安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.071,227.22,84.93,130.11
H97D3703004AA,蓄电池排气管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.194,332.0,91.0,56.0
H97A5301058AA,前防撞梁连接板（右）,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,总装,0.007,25.0,6.0,6.0
H97A2800010CN,车架右前段总成,防锈袋,有,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,A,1.0,焊装件,焊装件,15.009,1193,624,442
H97A6204012AA,右后门玻璃升降器总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,总装,1.303,630,487,100
H97A5501129AA,仪表板前端毛毡,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,5.0,采购件,总装,0.001,25.06,40,4.4
H97A2804023AA,后保险杠左上安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.468,151.99,189.16,325.35
H97A5520113AB,左后侧围安装支架,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.0266,58.0,18.0,18.0
H97A6107026AA,左前门前防水膜,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.028,213,137,23
H97E6301075AA,后背门左侧扰流板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,总装,0.509,481,293,274
H97D3615818DA,水加热PTC总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,2.7,325,216,78
H97A5515023AB,遮物帘总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.0129,20.0,8.0,8.0
H97A3104003AB,左后轮毂包下消声垫,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,2,905.73,515.78,263.42
H97A5533008AB,右后吹足管道后段,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.1644,236,182,95
H97D5206010AA,右后角窗玻璃总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,总装,4.8,506.39,1252.4,158.18
H97A8405034AB,风窗流水槽盖板右密封件,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.0078,25.0,6.0,6.0
H97A5013001AA,左后侧围吸音棉,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.045,348.17,94.26,470.06
H97A5001045AB,前排左后拉手支架组件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.0063,16.0,6.0,6.0
H97A3605868AE,隐藏式门把手控制器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,4.0,采购件,总装,0.006,12.0,6.0,6.0
H97Z2309001AC,左前驱动轴总成,防锈袋,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,8.6,769,128,109
H97E3501010AAHSKQ,右前制动器总成,防锈袋,,1. 核心防护：防油污、防划伤、防锈蚀；2. 性能要求：摩擦系数符合标准，无偏磨；3. 外观要求：表面无油污，无锈蚀；4. 尺寸要求：厚度、直径符合设计要求,B,1.0,采购件,总装,0.0063,620,405,200
H97D1109003AA,空气滤清器总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,1.08,367,227,210
H97D6900901ACUK02,前排副驾驶员座椅合件,无,,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,A,1.0,采购件,总装,0.0107,1092.69,859.51,554.88
H97E5301025AA,前围焊接分总成,防锈袋,有,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,A,1.0,焊装件,焊装件,1.69,1800.0,80.0,80.0
H56A3506015AA,制动管路双管夹,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,7.0,采购件,总装,0.0027,25,23.17,16
H97A5016011AA,Φ50孔贴,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,7.0,采购件,总装,0.015,50,49.86,2
H97B9102001AA,前电机隔热板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.0007,12.0,10.0,10.0
H97A7903007AA,负极滤波器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.028,116.73,82.94,228.67
H97A2912020AC,右后空气弹簧总成,,,1. 核心防护：防变形、防碰撞、防锈蚀；2. 强度要求：符合设计承载标准；3. 外观要求：无裂纹、无变形、无锈蚀；4. 性能要求：减震性能良好，无异常噪音,C,1.0,采购件,总装,3.2,321,235,209
H97A6105012AA,右前门锁体,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,1.62,568.26,518.48,103.49
H97A5515001AAJK05,拉手盒扣盖,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.051,255,46,44
H97A6105006AA,锁芯连杆,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.011,136.32,48.57,21.48
H97A5001043AB,前排右前拉手支架组件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.0176,20.0,8.0,8.0
H37A1108001AA,加速踏板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.426,185.24,117.59,212.06
5205103-RA01,左前刮片总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.125,694,41,39
H97E5006013AA,泄压阀总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,总装,0.081,178.79,46.78,146.87
H97D1303081AA,三通比例阀到chiller水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.459,763,399,333
H97C9340003AA,快充充电插座总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.13,220.0,69.0,30.0
H97A5505017AABKGB,香氛堵盖,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.154,90.0,14.0,14.0
H97D1303074AA,低温散热器出水管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,1.294,1500,546,153
H56A8402039AA,发动机罩缓冲块,,,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,C,4.0,采购件,总装,0.11,38,30,25
H97X3629821AB,自动泊车控制器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,总装,0.556,200.69,59.65,115.94
H97D1303139AB,发电机进出水管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.411,3805.0,15.0,20.0
H97C1303014AB,充电机水管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,4.8,357.0,250.0,192.0
H97A2941011AC,左后空气弹簧管路,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.051,700.23,1303.83,202.38
H97D3724117AA,右后门线束总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.26,693,596,212
H97E5205004AA,后刮臂刮片总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.18,413.38,60.8,37.06
H97A5001086AA,右后排安全带导向杆总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.003,34.0,23.0,23.0
H97A7903012AB,后PS天线,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,总装,0.042,36.6,118.5,25
H97A2804021AB,后保险杠左安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.159,178.41,62.06,333.78
H973602002,侧碰传感器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,2.0,采购件,总装,0.013,36.94,24.3,35.1
H56B1116002AA,油箱泄漏诊断模块,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,总装,0.38,126,91,82
H97A8404004AA,充电口盖闭锁器总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,总装,0.411,550.0,310.0,90.0
H97A5006050AC,右前门B柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,总装,3.497,900.0,698.0,285.0
H97D5704005AB,顶盖左行李架总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.05,853.0,30.0,41.0
H97E6107007AA,左前门框密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,1.02,1256.14,975.97,137.54
H97A5512910ABBKGA,左后门槛迎宾护板合件,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,总装,0.828,1046,195,162
H97A5300025AE,左A柱内板下部总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,焊装件,0.066,70.0,37.0,38.0
H97A2804024AA,后保险杠右上安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.468,151.99,189.16,325.35
H97D1303057AA,四通控制阀水管2,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,2.54,1.0,1.0,1.0
H97A3718901AC,右前门外开手柄合件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.2,125.0,33.0,33.0
H97A5013002AB,右后侧围吸音棉,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.045,347.98,89.92,469.95
H97D1303054AA,蓄水瓶出水软管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.121,120.0,12.0,12.0
H97E1104010AB,燃油箱安装带1,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.6,500.4,73.55,287.22
H97A5536005AA,风窗下装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,总装,0.04,65.0,21.0,21.0
H97B1104006BA,空气过滤器导管1号,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.034,40.0,10.0,10.0
H97A3716007AA,后组合灯移动侧左侧板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.05,172.93,99.94,87.82
H97A6105011AA,左前门锁体,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.925,568.26,519.09,117.9
H97A6103011BA,左前门玻璃总成,无,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,A,1.0,采购件,总装,4.34,1147,963,184
H97B3610800CA,整车控制器总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,B,1.0,采购件,总装,0.43,142.22,205.11,82.87
H97A8402038AA,发动机罩锁扣,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.2197,98,78,77
H97A8402032AB,右前罩板铰链总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,焊装件,0.0129,20.0,8.0,8.0
H97A8405015AD,机舱前中装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,1.051,1566.32,84.85,338.22
H97E6207014AA,右后门框密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.0087,30.0,6.0,6.0
H97D3621821AA,前驱动电机总成,防锈袋,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,A,1.0,采购件,总装,0.007,20.0,6.0,6.0
H37A6305001AA,背门锁总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.552,84.15,158.77,120.74
H97D6107011AB,左前门窗台外密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.55,1058,79,41
H97Z2309002AC,右前驱动轴总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,8.05,118.6,619.27,139.77
H97A2941005AB,左前带支架高度传感器总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,总装,0.096,98.21,84.16,126.27
H97A5016023AA,背门排水孔堵盖,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,3.0,采购件,总装,0.001,8.89,17,7.07
H97Z6120900AC,左前车门防擦条合件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.42,728.0,167.0,88.0
H97C5501105AABEGA,左下护板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.498,499.09,287.34,166.25
H97A2941009AC,右前空气弹簧管路后段,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.117,3428.43,287.47,1566.39
H97D3629827BA,行人警示控制器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,总装,0.093,97.0,25.0,25.0
H97A5013016AA,左A柱内钣金堵盖,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.121,120.0,12.0,12.0
H97A7909004AA,重低音扬声器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.06,50.0,10.0,10.0
H97A6201042AB,右后车门防污条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.062,68.0,10.0,10.0
HQ32406L1,六角法兰面承面带齿螺母,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,7.0,采购件,总装,0.04,65.0,21.0,21.0
H97D5704010AB,顶盖右行李架总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.034,40.0,10.0,10.0
