零件名称,零件等级（ABC）,零件重量KG,单车用量,零件尺寸L,零件尺寸W,零件尺寸H,来料SNP,来料包装L,来料包装W,来料包装H,零件分类
PTC到前暖芯水管,C,0.261,1.0,445,397,115,50,600,400,280,P
二合一到后电驱水管,C,0.31,1.0,630,312,163,20,800,600,280,P
二合一进水软管,C,0.25,1.0,532,300,130,20,600,400,280,P
前暖芯出水管,C,0.526,1.0,783,484,189,20,800,600,280,P
出水硬管到三通比例阀软管,C,0.355,1.0,741,203,157,20,600,400,110,P
电池包到chiller水管,C,0.193,1.0,225,223,222,70,650,436,210,P
低温散热器出水管总成,C,1.294,1.0,1500,546,153,5,1000,400,200,P
三通比例阀到chiller水管,C,0.459,1.0,763,399,333,60,600,400,280,P
chiller到液气分离器水管总成,C,0.73,1.0,864,362,325,5,1000,400,300,P
中冷器通气管,C,0.139,1.0,462,267,98,200,600,400,160,P
OBC中通道进水硬管,B,0.833,1.0,1875,172,124,50,2200,1150,1140,P
电池包出水管,C,0.16,1.0,341,92,68,20,800,600,210,P
OBC进出水管总成,C,0.507,1.0,508,162,121,30,800,600,280,P
电机到电池三合一水管,C,0.482,1.0,849,320,213,20,800,600,280,P
中通道到低温散热器水管组件,C,0.311,1.0,625,328,191,20,600,400,160,P
影音娱乐主机冷却进水管,C,0.22,1.0,285,275,152,30,600,400,280,P
前电机水泵进水管总成,C,0.193,1.0,364,131,101,20,600,400,280,P
左前驱动轴总成,B,8.6,1.0,769,128,109,84,1200,1000,1000,P
导风板总成,/,1.074,1.0,961,631,236,6,1260,1150,110,/
中冷器导风板,C,0.66,1.0,464,267,248,5,1100,550,160,P
油冷器导风板,C,0.529,1.0,436,300,236,6,1100,550,160,P
主动进气格栅总成,C,1.409,1.0,1030,218,159,36,1200,1000,1150,P
左后阻尼可调减振器支柱总成,/,4.622,1.0,559,167,106,40,1200,1000,760,P
右后阻尼可调减振器支柱总成,/,4.622,1.0,559,167,106,40,1200,1000,760,P
右前空气弹簧管路前段,C,0.107,1.0,1440,460,617,40,1100,550,330,P
车轮总成,B,30,4.0,774,774,284,16,2300,1600,1000,DU
左后轮罩挡泥板总成,B,0.942,1.0,987,716,419,15,1600,1100,1180,P
右后轮罩挡泥板总成,B,0.942,1.0,988,716,419,15,1600,1100,1180,P
左后轮毂包下消声垫,C,2,1.0,905.73,515.78,263.42,80,1660,1200,1160,P
右后轮毂包下消声垫,C,2,1.0,507.36,893.86,261.43,80,1330,1140,1090,P
后轮转向器隔热板,C,0.145,1.0,323,180,131,34,600,400,280,P
方向盘总成,B,1.75,1.0,379,341,203,4,650,435,440,P
制动管路4号总成,C,0.152,1.0,897,302,227,50,1100,550,160,P
左前门电动车窗开关,C,0.13,1.0,151,86,57,72,650,435,260,P
前门模块,C,0.094,2.0,140,73,31,26,600,400,148,KZQZC
后门模块,C,0.094,2.0,140,73,31,26,600,400,148,KZQZC
三排左侧座椅调节开关,C,0.09,1.0,75,58,56,96,600,400,280,P
三排右侧座椅调节开关,C,0.09,1.0,75,58,56,96,600,400,280,P
手机无线充电控制器-左前,C,0.247,1.0,154,75,41,36,600,400,230,KZQZC
手机无线充电控制器-右前,C,0.247,1.0,154,75,41,36,600,400,230,KZQZC
整车控制器合件,C,,1.0,206,143,83,20,560,356,240,KZQZC
车载充电机总成6.6kW,C,5.8,1.0,332,255,94,45,1200,1000,760,KZQZC
前左角雷达安装支架,C,0.09,1.0,160,147,88,60,650,435,280,P
前右角雷达安装支架,C,0.09,1.0,161,147,88,60,650,435,280,P
后左角雷达安装支架,C,0.08,2.0,129,100,88,72,600,400,280,P
车身线束支架,C,0.1,1.0,96,90,14,100,435,325,210,P
左前门线束总成,C,0.64,1.0,959,649,206,18,650,435,260,P
右前门线束总成,C,0.64,1.0,959,649,202,18,650,435,260,P
左后门线束总成,C,0.26,1.0,693,596,212,24,650,435,260,P
右后门线束总成,C,0.26,1.0,693,596,212,24,650,435,260,P
转接线束,C,0.1,1.0,239,60,40,100,650,435,260,P
转接线束,C,0.1,1.0,239,60,40,100,650,435,260,P
电池包搭铁线束,C,0.11,1.0,155,114,60,100,650,435,260,P
PTC搭铁线束总成,C,0.11,1.0,193,173,94,100,650,435,260,P
行李箱功能开关组,C,0.135,1.0,124,55,53,56,600,400,280,P
随车工具盒,C,0.767,1.0,334.51,1144.49,197.73,12,1330,1140,1050,P
胎压警示标签,C,0.001,1.0,78,56,32,2000,365,275,160,P
冷却液液位提醒标签,C,0.001,1.0,89,55,5,2000,365,275,160,P
中部防护板钣金支架总成1,C,0.17,1.0,137,73,47,80,435,325,210,P
前围内隔音垫,C,12.072,1.0,1494,827,532,18,1600,1140,1150,P
前围外隔音垫,C,5.399,1.0,899,453,125,160,1330,1140,1090,P
行李箱地板内隔音垫,C,3.9,1.0,1070,724,200,30,1330,1140,1050,P
行李箱地板外隔音垫,C,0.143,1.0,688.69,958.95,187.71,40,1330,1140,1050,P
后部下防护板,C,1.167,1.0,1345,922,35,65,1850,1500,750,P
中部防护板,C,0.174,1.0,906,229,54,150,1340,1140,760,P
左三角窗除霜盖板总成,C,0.327,1.0,569,207,81,8,650,435,260,P
右三角窗除霜盖板总成,C,0.327,1.0,569,207,81,8,650,435,260,P
仪表板右下底板总成,C,0.319,1.0,546,276,68,6,650,435,210,P
前除霜盖板总成,B,1.3,2.0,1393,423,84,33,1680,1100,1950,P
仪表板骨架连接板,C,0.176,1.0,574,128,70,20,650,435,210,P
上面板总成,C,0.67,1.0,361,343,65,14,800,600,450,P
副仪表板合件,B,10.38,1.0,1065,370,527,6,1650,1180,1380,P
杯托面板总成,C,0.54,1.0,258,161,86,8,650,435,210,P
扶手箱左侧板,B,,1.0,555.52,462.43,53.44,45,1330,1140,1770,P
扶手箱右侧板,B,,1.0,555.52,462.43,53.44,45,1330,1140,1770,P
左前门内饰板总成,B,,1.0,917.46,793.75,136.23,10,1600,1140,1950,DU
右前门内饰板总成,B,,1.0,917.46,793.75,136.23,10,1600,1140,1950,DU
左前门开关盖板总成,C,0.03,1.0,163.59,79.04,71.65,70,650,435,260,P
右前门开关盖板总成,C,0.01,1.0,66.27,44.36,42.26,180,650,435,260,P
左后门内饰板总成,B,5.112,1.0,977.75,796.84,182.06,10,1600,1140,1950,DU
右后门内饰板总成,B,5.112,1.0,977.75,796.84,182.06,10,1600,1140,1950,DU
左后门开关盖板总成,C,0.01,2.0,67.59,48.57,25.95,180,650,435,260,P
左后门堵盖,C,0.005,1.0,42.19,32.72,30.16,1200,650,435,210,P
右后门堵盖,C,0.005,1.0,42.19,32.72,30.16,1200,650,435,210,P
顶棚合件,A,,1.0,3100.43,1584.51,458.16,7,3100,1140,2355,DU
后地板地毯总成,C,2.54,1.0,1070,439.27,71.99,21,1330,1140,730,P
前地板后地毯总成,C,16.616,1.0,1931.34,1456.97,424.58,8,2150,1570,1150,P
副驾地毯总成,B,,1.0,912.53,670.73,351.55,6,1330,1140,1150,P
插座罩盖,C,0.096,1.0,159.73,158.16,85.57,12,600,400,280,P
左后侧围遮阳帘合件,B,7.1,1.0,1639.27,1175.53,392.11,10,1550,2000,2300,DU
右后侧围遮阳帘合件,B,6.433,1.0,1639.27,1175.53,392.11,10,1550,2000,2300,DU
行李箱盖板,C,1.827,1.0,1198,572.51,136.52,21,1330,1140,1090,P
左后角窗内饰板总成,C,0.215,1.0,592.59,135.83,101.81,5,650,435,160,P
右后角窗内饰板总成,C,0.215,1.0,592.59,135.83,101.81,5,650,435,160,P
右后角窗内饰板总成,C,0.215,1.0,592.59,135.83,101.81,5,650,435,160,P
扶手杯托垫,C,0.012,2.0,67.97,67.12,18.17,1200,650,435,260,P
左后门电动遮阳帘总成,B,3.17,1.0,942.55,742.78,186.34,10,1200,1000,1050,P
右后门电动遮阳帘总成,B,,1.0,942.55,742.78,186.34,10,1200,1000,1050,P
左后门电动遮阳帘上装饰板,C,0.2,1.0,795.35,48.57,40.34,27,1000,400,280,P
右后门电动遮阳帘上装饰板,C,,1.0,795.35,48.57,40.34,27,1000,400,280,P
左D柱风道,C,0.352,1.0,509.31,335.62,207.75,8,1100,550,330,P
三排左吹脚风管,C,0.718,1.0,1073.86,669.1,152.57,24,1220,1150,930,P
前门扶手盒支架,C,0.043,2.0,73.74,59.58,37.5,200,435,325,210,P
左前门外开拉丝总成,C,0.021,1.0,172.13,133.06,93.42,100,300,200,148,P
右前门外开拉丝总成,C,,1.0,173.47,133.06,94.46,100,300,200,148,P
锁芯连杆,C,0.011,1.0,136.32,48.57,21.48,400,300,200,148,P
前门内开拉丝总成,C,0.046,2.0,,,,100,1000,400,148,P
左前门锁体,C,0.925,1.0,568.26,519.09,117.9,5,600,400,280,P
右前门锁体,C,,1.0,568.26,518.48,103.49,5,600,400,280,P
左前门框密封条总成,B,1.02,1.0,1256.14,975.97,137.54,90,1200,1000,900,P
右前门框密封条总成,B,,1.0,1256.13,975.97,137.54,90,1200,1000,900,P
左前门密封条总成,B,0.42,1.0,1341.8,1072.33,216.09,90,1200,1000,900,P
左前门防水膜,C,0.073,1.0,313.65,44.68,428.41,40,800,600,280,P
右前门防水膜,C,0.073,1.0,313.65,44.68,428.41,40,800,600,280,P
右前门密封条总成,B,,1.0,1341.8,1072.33,216.09,90,1200,1000,900,P
左后门窗框内装饰件总成,C,0.248,1.0,732.69,67.71,58.98,21,900,470,260,P
右后门窗框内装饰件总成,C,0.248,1.0,732.69,67.71,58.98,21,900,470,260,P
左后门窗框前内装饰件总成,C,0.203,1.0,514.51,156.08,149.19,11,600,400,220,P
左后门窗框前外装饰件总成,C,0.137,1.0,449.03,142.24,117.95,32,600,400,220,P
左后门窗框后内装饰件总成,C,0.219,1.0,449.03,142.24,117.95,9,600,400,220,P
左后门窗框后外装饰件总成,C,0.227,1.0,413.52,172.07,134.5,16,600,400,220,P
右后门窗框前内装饰件总成,C,0.203,1.0,514.51,156.08,149.19,11,600,400,220,P
右后门窗框前外装饰件总成,C,0.137,1.0,449.03,142.24,117.95,32,600,400,220,P
右后门窗框后内装饰件总成,C,0.219,1.0,468.45,177.6,144.92,9,600,400,220,P
右后门窗框后外装饰件总成,C,0.227,1.0,413.52,172.07,134.5,16,600,400,220,P
左前门外开手柄总成,B,0.64,1.0,347.92,133.01,95.96,4,600,400,148,P
右前门外开手柄总成,B,0.63,1.0,347.92,133.01,95.96,4,600,400,148,P
后门外开拉丝总成,C,0.074,2.0,548.43,426.91,128.74,100,1200,400,1390,P
后门内开拉丝总成,C,0.0357,2.0,469.19,350.1,56.72,200,1200,400,230,P
左滑移门后锁总成,C,1.776,1.0,988.31,488.7,90.58,6,1200,400,160,P
左滑移门驱动机构总成,B,1.605,1.0,949.5,274.15,192.08,6,1200,400,160,P
右滑移门驱动机构总成,B,1.605,1.0,949.5,269.77,192.08,6,1200,400,160,P
右滑移门后锁总成,C,,1.0,988.31,488.7,90.58,6,1200,400,160,P
左滑移门内拉手,B,0.75,1.0,317.09,247.29,46.1,5,600,400,160,P
右滑移门内拉手,B,,1.0,317.09,247.29,46.1,5,600,400,160,P
滑移门全开锁拉线总成,C,0.0564,2.0,682.82,513.77,172.9,100,1200,400,1390,P
左滑移门玻璃导槽总成,C,0.9,1.0,1053.06,855.12,205.76,104,1470,1150,900,P
右滑移门玻璃导槽总成,C,0.9,1.0,1053.06,855.12,205.76,104,1470,1150,900,P
左后门防水膜,C,0.077,1.0,438.85,435.85,60.08,40,1100,550,330,P
右后门防水膜,C,,1.0,438.85,435.86,60.08,40,1100,550,330,P
左后门前防水膜,C,0.033,1.0,224.38,217.07,15.21,80,650,435,260,P
右后门前防水膜,C,,1.0,224.38,217.07,15.21,80,650,435,260,P
左滑移门框密封条,B,1.52,1.0,1095.06,209.74,1373.68,90,1200,1000,900,P
右滑移门框密封条,B,1.52,1.0,1095.06,209.74,1373.68,90,1200,1000,900,P
左后门内开拉丝安装支架,C,0.016,1.0,48.68,40.5,19.02,400,435,325,210,P
右后门内开拉丝安装支架,C,,1.0,48.68,40.5,19.02,400,435,325,210,P
后背门外饰板合件,C,2.325,1.0,1999.18,1699.77,1207.41,28,1470,1140,1120,DU
背门框密封条总成,B,1.63,1.0,348.56,1384.26,1035.32,64,1200,1000,900,P
前排主驾驶员座椅合件,A,,1.0,1092.98,859.51,554.88,2,1680,1150,2100,DU
前排副驾驶员座椅合件,A,,1.0,1092.69,859.51,554.88,2,1680,1150,2100,DU
第三排左侧座椅合件,B,,1.0,931.74,813.68,741.68,2,1550,1160,1220,DU
第三排右侧座椅合件,B,,1.0,931.74,813.68,481.06,2,1550,1160,1220,DU
功率放大器,C,1.5,1.0,359.56,192.93,90.39,6,650,435,1390,KZQZC
后HVAC总成,B,4.7,1.0,597.13,298.17,439.36,9,1580,780,1190,P
电池冷却器总成,B,1.46,1.0,201.12,116.55,176.06,160,1140,980,1050,P
电池冷却器支架总成,C,0.767,1.0,190.25,177.69,78.96,20,650,435,210,P
电池冷却器隔热罩支架1,C,0.028,1.0,28.51,43.87,71.45,200,435,325,210,P
电池冷却器隔热罩支架3,C,0.176,1.0,128.06,73.54,166.77,100,435,325,210,P
前空调管路总成2,C,1.27,1.0,349.49,313.55,299.2,12,1100,550,330,P
后空调管路总成1,B,1.5,1.0,759.39,125.48,1981.71,80,2100,1150,700,P
后空调管路总成3,C,0.62,1.0,123.73,322.71,566.79,20,1100,550,330,P
高温水加热器总成支架,C,1.383,1.0,344.74,112.64,431.27,12,650,435,1390,P
高温水加热器总成支架2,C,0.078,1.0,131.47,78.14,16.54,100,435,325,210,P
内后视镜总成,B,0.42,1.0,260.76,87.66,119.94,15,600,400,340,P
左外后视镜合件,B,1.65,1.0,418.27,354.1,216.63,4,650,435,295,DU
右外后视镜合件,B,1.65,1.0,418.27,354.1,216.63,4,650,435,295,DU
驾驶位安全气囊模块,C,1.063,1.0,140.76,156.26,128.45,8,650,435,160,P
加油口盖本体,C,0.38,1.0,99.04,177.06,339.83,6,650,435,260,P
加油管总成,C,1.4,1.0,356.49,840.02,911.35,70,1470,1140,890,P
充电机高压线束总成,C,0.8,1.0,1724.67,414.33,920.12,6,550,365,210,P
前舱电池加热PTC-压缩机高压线束总成,C,1.17,1.0,758.03,722.17,1082.14,6,550,365,210,P
发电机控制器高压线束总成支架1,C,0.163,1.0,176.39,131,111.8,30,650,435,210,P
后电机高压线束总成支架2,C,0.039,1.0,75.74,46,27.95,200,435,325,210,P
前舱电池包加热PTC-压缩机高压线束总成支架2,C,0.053,1.0,132.35,53.71,71.72,160,435,325,210,P
充电线束总成支架3,C,0.076,1.0,63.52,51.55,85.97,100,435,325,210,P
车内放电插座总成,C,0.5,1.0,166.97,797.37,470.75,25,650,435,260,P
贴片60X80,C,0.0135,1.0,2,80,60,240,365,275,160,P
压缩机吸入管路总成1,C,0.243,1.0,459.58,104.06,243.43,30,650,435,260,P
左前轮速传感器线束支架,C,0.05,1.0,133.54,131.16,111.33,120,650,435,210,P
右前轮速传感器线束支架,C,0.05,1.0,133.54,131.16,111.33,120,650,435,210,P
前CDC线束支架,C,0.01,2.0,28.64,36.62,56.25,750,435,325,160,P
车型编码标牌,C,0.0139,1.0,32.15,218.39,40.03,240,550,365,160,P
低压线束支架1,C,0.027,1.0,31.69,54.7,76.8,500,435,325,160,P
前部下防护板钣金支架总成2,C,/,2.0,141.79,53,61.31,180,435,325,160,P
中部护板安装支架总成,C,0.028,1.0,40.49,24,79.26,210,435,325,160,P
右遮阳板,C,0.52,1.0,440.67,79.54,194.44,10,600,400,160,P
前空调管路总成1,C,0.536,1.0,205.5,248.96,581.16,20,1100,550,330,P
板换带三通阀总成,C,1.8,1.0,230.14,215.39,207.74,4,600,400,280,P
中冷低温散热器总成,C,0.335,1.0,306.32,148.36,370.01,24,1140,980,600,P
锁芯及机械钥匙合件,C,0.022,1.0,44.29,90.61,40.93,80,600,400,148,P
电池冷却器隔热罩,C,0.16,1.0,230.33,134.43,282.07,30,600,400,220,P
车内放电插座总成罩盖,C,0.1,1.0,50.81,39.76,56.38,256,650,435,260,P
前碰传感器,C,0.02,2.0,35.34,24.3,36.49,400,435,325,210,P
侧碰传感器,C,0.013,4.0,36.94,24.3,35.1,400,435,325,210,P
门压力传感器,C,0.0185,2.0,53.27,30.42,52.35,80,435,325,210,P
加速踏板螺栓堵盖1,C,0.008,1.0,30.62,23.4,25.77,500,365,275,160,P
加速踏板螺栓堵盖2,C,0.009,1.0,32.75,23.4,25.89,500,365,275,160,P
油箱隔离阀总成,C,0.45,1.0,94.45,168,54.36,30,550,365,210,P
车轮装饰盖,C,0.031,4.0,69.24,69.24,28.58,100,600,400,230,P
车轮螺栓装饰盖及拆卸夹,C,/,1.0,1795.92,635.75,3092.14,18,365,275,160,P
四通接头,C,0.095,1.0,59.91,61.53,35,100,365,275,160,P
行李箱左照明灯,C,0.026,1.0,202.89,22.36,19.23,100,400,300,148,P
电动后背门关闭开关,C,0.0187,1.0,34.66,56.09,40.4,221,550,365,210,P
12V电源插座,C,0.022,1.0,39.48,31.92,63.69,126,365,275,260,P
玻璃升降器开关,C,0.0356,3.0,56.76,43.7,59.14,240,550,365,210,P
风扇警示标签,C,/,1.0,84,44.03,7.94,4800,365,275,160,P
三角警告牌,C,0.785,1.0,36.86,430.3,49.36,30,550,365,160,P
贴片 Φ18,C,0.002,49.0,18,17.96,2,3840,365,275,160,P
贴片 Φ30,C,0.0056,64.0,30,3.52,29.98,2160,365,275,160,P
堵盖Φ20,C,0.002,9.0,8.54,28.27,28.26,1600,400,300,230,P
Φ50孔贴,C,0.015,8.0,50,49.86,2,800,365,275,160,P
贴片φ40,C,0.0099,20.0,40,40,2,1400,365,275,160,P
橡胶堵盖Φ16,C,0.001,15.0,24.99,24.99,8.24,2000,400,300,230,P
堵盖Φ30,C,0.0018,3.0,43.59,43.65,9.5,1000,400,300,230,P
背门排水孔堵盖,C,0.001,3.0,8.89,17,7.07,2700,365,275,160,P
仪表板前端毛毡,C,0.001,6.0,25.06,40,4.4,3000,400,300,220,P
遮阳板挂钩盖板,C,/,2.0,23.33,17.26,20.68,360,365,275,160,P
背门锁扣总成,C,0.19,1.0,54.42,98,57.44,30,435,325,210,P
车体上背门限位器,C,0.019,2.0,34.32,43.66,39.6,600,400,300,230,P
负极滤波器,C,0.028,1.0,116.73,82.94,228.67,144,550,365,210,P
后PS天线,C,0.042,2.0,36.6,118.5,25,160,390,280,285,P
前排安全带高度调节器,C,0.248,2.0,36.56,185,49.2,30,550,365,160,P
排水管护套,C,0.0015,2.0,29,28.96,9.2,1500,650,435,260,P
车轮总成,B,31.65,4.0,774.14,283.91,773.38,16,2300,1600,1000,DU
发动机控制器合件,C,,1.0,,,,14,516,345,213,KZQZC
主动悬架集成控制器,C,0.382,1.0,50.45,199.44,139.41,12,550,365,160,KZQZC
前左角雷达,C,0.085,1.0,2076.48,270.77,2755.56,30,600,400,280,KZQZC
前右角雷达,C,0.085,1.0,2076.48,270.77,2755.56,30,600,400,280,KZQZC
后左角雷达,C,0.092,1.0,2523.44,2353.13,270.77,30,600,400,1390,KZQZC
后右角雷达,C,0.092,1.0,2524.44,2354.13,271.77,30,600,400,1390,KZQZC
